,0
2164,39
2165,38
2166,37
2167,36
2168,38
2169,33
2170,33
2171,38
2172,36
2173,37
2174,33
2175,37
2176,38
2177,31
2178,31
2179,34
2180,30
2181,31
2182,31
2183,29
2184,30
2185,29
2186,33
2187,33
2188,29
2189,30
2190,28
2191,28
2192,33
2193,31
2194,32
2195,30
2196,33
2197,34
2198,33
2199,32
2200,27
2201,29
2202,33
2203,34
2204,27
2205,28
2206,30
2207,26
2208,28
2209,29
2210,32
2211,30
2212,29
2213,31
2214,30
2215,30
2216,28
2217,28
2218,31
2219,28
2220,33
2221,28
2222,28
2223,28
2224,28
2225,33
2226,33
2227,34
2228,31
2229,29
2230,33
2231,28
2232,27
2233,30
2234,30
2235,31
2236,30
2237,28
2238,28
2239,28
2240,29
2241,23
2242,28
2243,25
2244,22
2245,22
2246,25
2247,21
2248,25
2249,22
2250,24
2251,24
2252,25
2253,28
2254,27
2255,24
2256,25
2257,23
2258,22
2259,22
2260,22
2261,22
2262,21
2263,20
2264,19
2265,22
2266,24
2267,21
2268,21
2269,22
2270,21
2271,24
2272,23
2273,20
2274,22
2275,21
2276,24
2277,23
2278,21
2279,21
2280,22
2281,23
2282,21
2283,22
2284,20
2285,21
2286,19
2287,16
2288,14
2289,20
2290,23
2291,21
2292,22
2293,18
2294,21
2295,23
2296,21
2297,15
2298,18
2299,19
2300,18
2301,16
2302,17
2303,16
2304,19
2305,17
2306,14
2307,14
2308,16
2309,17
2310,19
2311,18
2312,16
2313,16
2314,15
2315,16
2316,20
2317,18
2318,21
2319,18
2320,18
2321,16
2322,17
2323,17
2324,16
2325,18
2326,19
2327,18
2328,17
2329,16
2330,19
2331,20
2332,15
2333,17
2334,20
2335,21
2336,18
2337,18
2338,20
2339,19
2340,19
2341,22
2342,23
2343,21
2344,24
2345,24
2346,24
2347,20
2348,18
2349,16
2350,18
2351,20
2352,20
2353,19
2354,19
2355,21
2356,17
2357,18
2358,18
2359,21
2360,26
2361,26
2362,23
2363,22
2364,23
2365,22
2366,21
2367,23
2368,22
2369,21
2370,23
2371,22
2372,21
2373,23
2374,20
2375,20
2376,19
2377,19
2378,20
2379,19
2380,18
2381,16
2382,15
2383,14
2384,16
2385,18
2386,17
2387,17
2388,17
2389,16
2390,13
2391,16
2392,12
2393,14
2394,13
2395,12
2396,13
2397,15
2398,14
2399,13
2400,15
2401,13
2402,15
2403,15
2404,14
2405,15
2406,14
2407,14
2408,13
2409,12
2410,10
2411,9
2412,11
2413,9
2414,12
2415,13
2416,12
2417,11
2418,13
2419,12
2420,11
2421,13
2422,12
2423,13
2424,14
2425,14
2426,15
2427,16
2428,15
2429,16
2430,16
2431,13
2432,15
2433,17
2434,15
2435,15
2436,15
2437,12
2438,17
2439,14
2440,18
2441,13
2442,13
2443,15
2444,16
2445,13
2446,15
2447,15
2448,16
2449,14
2450,16
2451,16
2452,15
2453,16
2454,16
2455,17
2456,17
2457,18
2458,14
2459,16
2460,17
2461,17
2462,17
2463,19
2464,20
2465,19
2466,18
2467,19
2468,21
2469,17
2470,16
2471,21
2472,18
2473,18
2474,15
2475,18
2476,18
2477,17
2478,18
2479,16
2480,15
2481,14
2482,13
2483,14
2484,14
2485,14
2486,12
2487,12
2488,12
2489,12
2490,11
2491,15
2492,16
2493,13
2494,12
2495,13
2496,12
2497,14
2498,14
2499,13
2500,14
2501,14
2502,12
2503,13
2504,14
2505,11
2506,14
2507,15
2508,15
2509,17
2510,19
2511,19
2512,17
2513,17
2514,18
2515,17
2516,21
2517,17
2518,17
2519,17
2520,16
2521,17
2522,19
2523,16
2524,18
2525,17
2526,18
2527,21
2528,19
2529,19
2530,19
2531,21
2532,23
2533,23
2534,23
2535,23
2536,24
2537,22
2538,22
2539,23
2540,21
2541,20
2542,21
2543,24
2544,22
2545,24
2546,25
2547,29
2548,27
2549,28
2550,25
2551,25
2552,27
2553,31
2554,27
2555,27
2556,26
2557,27
2558,28
2559,24
2560,25
2561,26
2562,23
2563,23
2564,21
2565,22
2566,24
2567,24
2568,21
2569,22
2570,20
2571,20
2572,19
2573,21
2574,19
2575,21
2576,19
2577,20
2578,19
2579,19
2580,21
2581,24
2582,23
2583,23
2584,22
2585,19
2586,24
2587,20
2588,21
2589,22
2590,21
2591,21
2592,18
2593,22
2594,20
2595,20
2596,21
2597,21
2598,21
2599,22
2600,19
2601,17
2602,22
2603,19
2604,23
2605,20
2606,22
2607,26
2608,29
2609,27
